	WT	pH	NH4+-N	TN	NO3-	TP	NO2-	PO43-	COD	SD
C1_1D	9.9	8.81	0.104	1.91	1.23	0.119	0.021	0.025	2.4	0.917399376
C1_2	8.6	8.49	0.145	3.2	2.62	0.138	0.039	0.064	3	0.87167196
C1_2D	12.3	9.33	0.081	2	1.55	0.111	0.021	0.019	3	0.972685956
C1_3	17.9	6.47	0.616	4.3	2.66	0.177	0.041	0.018	11.3	0.942756075
C10_4	20.3	7.43	0.21524	0.857	0.3	0.02292	0.004	0.012	2.133333333	0.963693835
C10_4D	25.1	8.99	0.40804	1.072	0.45	0.032	0.013	0.006	2.575393154	1.114422225
C10_5	28.1	8.8	0.09504	0.734	0	0.043	0.005	0.008	4.581818182	0.984524069
C10_5D	24.4	8.22	0.1246	1.793	2.2	0.132	0.081	0.01	3.733333333	0.755471948
C10_6	29.7	7.03	0.05136	1.876	1.3	0.055	0.056	0.008	3.580952381	1.020561216
C10_6D	30.7	7.93	0.0572	1.805	0.45	0.096	0.04	0.008	6.205607477	0.899109945
C10_7	29.5	7.54	0.0676	1.936	1.05	0.112	0.031	0.006	6.13592233	1.044553499
C10_7D	35.8	8.75	0.12056	1.087	0.3	0.101	0.019	0.012	5.621621622	0.844453321
C10_8	30.9	9.07	0.0676	0.857	0.4	0.148	0.02	0.059	5.647058824	0.811688013
C10_8D	31.3	8.23	0.00788	1.579	1.1	0.124	0.019	0.064	6.1032	0.854242681
C10_9	34.9	8.98	0.14804	1.01	0	0.122	0	0.035	6.592592593	0.938225211
C10_9D	30.6	9.4	0.657	1.399	0.139	0.13	0.00012	0.23384	4.038095238	1.039770541
C10_10	29.6	9.08	0.06944	1.27	0.051	0.197	0	0.01524	6.280373832	0.99609429
C10_10D	20.7	8.49	0.18388	0.83	0.122	0.134	0	0.035	4	0.988744842
C10_11	17.9	9.19	0.053	1.66	0.67	0.095	0.01	0.015	7.4	1.011034284
C10_11D	14.4	9.79	0.07	1.35	0.68	0.08	0.01	0.005	6.8	0.977920916
C10_12	13.7	9.23	0.117	1.17	0.354	0.063	0.011	0.008	7	0.951351339
C10_12D	11.4	9.57	0.112	1.13	0.226	0.12	0.009	0.009	7.3	0.933777959
C10_1	10	8.37	0.196	0.99	0.069	0.065	0	0.01	6.2	0.93926326
C10_1D	11	8.59	0.098	1.13	0.699	0.129	0.022	0.018	3.3	0.790582151
C10_2	9.5	8.67	0.346	4.2	3.15	0.101	0.026	0.036	3.2	0.921874305
C10_2D	14	8.87	0.15	2.98	2.58	0.038	0.03	0.005	3.2	1.144969386
C10_3	17.9	6.22	0.509	3.21	1.65	0.06	0.033	0.008	6	0.984524069
C3_4	17.2	7.53	3.22332	4.931	0.15	0.65528	0.025	0.581	3.563636364	0.933100993
C3_4D	21.11	7.91	0.4612	2.298	1.1	0.346	0.065	0.253	2.716981132	0.994780936
C3_5	22.6	7.78	1.53004	2.227	0.3	0.101	0.059	0.601	3.657142857	1.011034284
C3_5D	22.4	7.07	0.51432	2.086	0.85	0.555	0.055	0.313	4.504854369	0.786500453
C3_6	27.1	8.14	0.19656	1.493	0.75	0.355	0.036	0.251	3.407407407	0.781043616
C3_6D	29.7	7.59	0.12104	0.947	0.05	0.543	0	0.211	6.296296296	0.894746519
C3_7	31.8	7.3	0.0676	1.766	0.65	0.229	0.031	0.046	5.660377358	0.775707604
C3_7D	31.3	7.05	0.19116	1.287	0.35	0.186	0.015	0.042	2.275862069	0.875367542
C3_8	28.7	7.78	0.18528	1.317	0.9	0.143	0.034	0.024	4.392156863	0.950623242
C3_8D	27.6	7.34	0.04876	2.19	1.15	0.147	0.031	0.036	4.3563	0.844453321
C3_9	30.5	7.81	0.14804	1.559	0.55	0.119	0.015	0.022	2.636678201	0.984524069
C3_9D	29	8.43	0.66852	1.418	0.545	0.099	0.029	0.08804	2.392523364	1.09645976
C3_10	26.5	8.09	0.10976	1.221	0.649	0.105	0.788	0.01924	2.841121495	1.078504651
C3_10D	19.8	8.2	0.09192	1.72	0.811	0.091	0.025	0.019	2.4	0.936505004
C3_11	16.7	8.47	0.642	2.38	1.29	0.095	0.058	0.04	2.8	1.036633838
C3_11D	13.1	9.21	0.076	2.31	1.43	0.099	0.026	0.015	4.3	1.060071502
C3_12	11.6	8.99	0.085	2.03	1.02	0.119	0.028	0.038	5.8	0.927092371
C3_12D	10.3	8.64	0.464	2.5	1.36	0.149	0.041	0.068	5.8	0.942404507
C3_1	8.6	8.23	0.593	3.28	1.67	0.174	0.051	0.047	5.3	0.912074922
